 1 1 1 1 1 1 1 1 1 1 1
 6 6 6 6 6 6 6 6 6 6 6
 88 88 88 88 88 88 88 88 88 88 88
 41 41 41 41 41 41 41 41 41 41 41
 30 30 30 30 30 30 30 30 30 30 30
 95 95 95 95 95 95 95 95 95 95 95
 3 3 3 3 3 3 3 3 3 3 3
 13 13 13 13 13 13 13 13 13 13 13
 105 105 105 105 105 105 105 105 105 105 105
 60 60 60 60 60 60 60 60 60 60 60
 104 104 104 104 104 104 104 104 104 104 104
 102 102 102 102 102 102 102 102 102 102 102
 26 26 26 26 26 26 26 26 26 26 26
 47 47 47 47 47 47 47 47 47 47 47
 12 12 12 12 12 12 12 12 12 12 12
 28 28 28 28 28 28 28 28 28 28 28
 66 66 66 66 66 66 66 66 66 66 66
 80 80 80 80 80 80 80 80 80 80 80
 52 52 52 52 52 52 52 52 52 52 52
 106 106 106 106 106 106 106 106 106 106 106
 108 108 108 108 108 108 108 108 108 108 108
 98 98 98 98 98 98 98 98 98 98 98
 16 16 16 16 16 16 16 16 16 16 16
 91 91 91 91 91 91 91 91 91 91 91
 15 15 15 15 15 15 15 15 15 15 15
 10 10 10 10 10 10 10 10 10 10 10
 99 99 99 99 99 99 99 99 99 99 99
 64 64 64 64 64 64 64 64 64 64 64
 84 84 84 84 84 84 84 84 84 84 84
 103 103 103 103 103 103 103 103 103 103 103
 74 74 74 74 74 74 74 74 74 74 74
 101 101 101 101 101 101 101 101 101 101 101
 39 39 39 39 39 39 39 39 39 39 39
 100 100 100 100 100 100 100 100 100 100 100
 82 82 82 82 82 82 82 82 82 82 82
 69 69 69 69 69 69 69 69 69 69 69
 68 68 68 68 68 68 68 68 68 68 68
 94 94 94 94 94 94 94 94 94 94 94
 109 109 109 109 109 109 109 109 109 109 109
 83 83 83 83 83 83 83 83 83 83 83
 45 45 45 45 45 45 45 45 45 45 45
 37 37 37 37 37 37 37 37 37 37 37
 81 81 81 44 81 81 81 81 81 81 81
 51 51 51 93 51 51 51 51 51 51 51
 2 2 2 5 2 2 2 2 2 2 2
 32 32 32 32 32 32 32 32 32 32 32
 5 5 5 2 5 5 5 5 5 5 5
 93 93 93 51 93 93 93 93 93 93 93
 44 44 44 81 44 44 44 44 44 44 44
 70 70 70 70 70 70 70 70 70 70 70
 25 25 25 25 25 25 25 25 25 25 25
 20 20 20 20 20 20 20 20 20 20 20
 42 42 42 42 42 42 42 42 42 42 42
 22 22 22 22 22 22 22 22 22 22 22
 59 59 59 59 59 59 59 59 59 59 59
 11 11 11 11 11 11 11 11 11 11 11
 35 35 35 35 35 35 35 35 35 35 35
 7 7 7 7 7 7 7 7 7 7 7
 85 85 85 85 85 85 85 85 85 85 85
 75 75 75 75 75 75 75 75 75 75 75
 9 9 9 9 9 9 9 9 9 9 9
 8 8 8 8 8 8 8 8 8 8 8
 54 54 54 54 54 54 54 54 54 54 54
 92 92 92 92 92 92 92 92 92 92 92
 17 17 17 17 17 17 17 17 17 17 17
 46 46 46 46 46 46 46 46 46 46 46
 29 29 29 29 29 29 29 29 29 29 29
 27 27 27 27 27 27 27 27 27 27 27
 24 24 24 24 24 24 24 24 24 24 24
 107 107 107 107 107 107 107 107 107 107 107
 55 55 55 55 55 55 55 55 55 55 55
 79 79 79 79 79 79 79 79 79 79 79
 23 23 23 23 23 23 23 23 23 23 23
 90 90 90 90 90 90 90 90 90 90 90
 77 77 77 77 77 77 77 77 77 77 77
 31 31 31 31 31 31 31 31 31 31 31
 19 19 19 19 19 19 19 19 19 19 19
 110 110 110 110 110 110 110 110 110 110 110
 65 65 65 65 65 65 65 65 65 65 65
 97 97 97 97 97 97 97 97 97 97 97
 96 96 96 96 96 96 96 96 96 96 96
 61 61 61 61 61 61 61 61 61 61 61
 18 18 18 18 18 18 18 18 18 18 18
 21 21 21 21 21 21 21 21 21 21 21
 86 86 86 86 86 86 86 86 86 86 86
 63 63 63 63 63 63 63 63 63 63 63
 87 87 87 87 87 87 87 87 87 87 87
 62 62 62 62 62 62 62 62 62 62 62
 48 48 48 48 48 48 48 48 48 48 48
 40 40 40 40 40 40 40 40 40 40 40
 89 89 89 89 89 89 89 89 89 89 89
 4 4 4 4 4 4 4 4 4 4 4
 36 36 36 36 36 36 36 36 36 36 36
 78 78 78 78 78 78 78 78 78 78 78
 33 33 33 33 33 33 33 33 33 33 33
 14 14 14 14 14 14 14 14 14 14 14
 57 57 57 57 57 57 57 57 57 57 57
 76 76 76 76 76 76 76 76 76 76 76
 34 34 34 34 34 34 34 34 34 34 34
 73 73 73 73 73 73 73 73 73 73 73
 72 72 72 72 72 72 72 72 72 72 72
 50 50 50 50 50 50 50 50 50 50 50
 53 53 53 53 53 53 53 53 53 53 53
 43 43 43 43 43 43 43 43 43 43 43
 71 71 71 71 71 71 71 71 71 71 71
 49 49 49 49 49 49 49 49 49 49 49
 58 58 58 58 58 58 58 58 58 58 58
 56 56 56 56 56 56 56 56 56 56 56
 67 67 67 67 67 67 67 67 67 67 67
 38 38 38 38 38 38 38 38 38 38 38
