1.3  1      -0.64756    0.00000    0.34680    0.00000    3.53837    0.00000 
1.3  2      -0.64591    0.00117    0.34601    0.00056    3.56407    0.01817 
1.3  3      -0.64643    0.00089    0.34462    0.00119    3.54040    0.02281 
1.3  4      -0.64648    0.00067    0.34419    0.00097    3.51345    0.02894 
1.3  5      -0.64652    0.00054    0.34499    0.00106    3.51889    0.02365 
1.3  6      -0.64654    0.00045    0.34436    0.00106    3.52799    0.02139 
1.3  7      -0.64667    0.00040    0.34380    0.00105    3.52427    0.01866 
1.3  8      -0.64664    0.00035    0.34457    0.00117    3.54948    0.02868 
1.3  9      -0.64667    0.00031    0.34502    0.00112    3.55522    0.02607 
1.3  10     -0.64661    0.00029    0.34499    0.00101    3.55459    0.02347 
1.3  11     -0.64655    0.00027    0.34494    0.00092    3.55136    0.02155 
1.3  12     -0.64658    0.00025    0.34478    0.00085    3.54504    0.02066 
1.3  13     -0.64651    0.00024    0.34475    0.00079    3.55395    0.02091 
1.3  14     -0.64649    0.00022    0.34450    0.00077    3.55028    0.01973 
1.3  15     -0.64634    0.00025    0.34434    0.00074    3.54866    0.01848 
1.3  16     -0.64637    0.00024    0.34376    0.00089    3.54771    0.01735 
1.3  17     -0.64652    0.00026    0.34370    0.00084    3.54606    0.01641 
1.3  18     -0.64655    0.00025    0.34378    0.00079    3.54811    0.01562 
1.3  19     -0.64648    0.00025    0.34387    0.00076    3.54729    0.01482 
1.3  20     -0.64644    0.00024    0.34403    0.00074    3.54461    0.01432 
