0.6  1       0.71188    0.00000 
0.6  2       0.75883    0.03320 
0.6  3       0.72926    0.03275 
0.6  4       0.71295    0.02833 
0.6  5       0.71430    0.02270 
0.6  6       0.72197    0.02017 
0.6  7       0.72290    0.01731 
0.6  8       0.72260    0.01515 
0.6  9       0.70931    0.01840 
0.6  10      0.69442    0.02177 
0.6  11      0.69626    0.01986 
0.6  12      0.70104    0.01878 
0.6  13      0.69893    0.01745 
0.6  14      0.70148    0.01639 
0.6  15      0.70094    0.01530 
0.6  16      0.70587    0.01512 
0.6  17      0.71079    0.01501 
0.6  18      0.70237    0.01637 
0.6  19      0.70409    0.01560 
0.6  20      0.70555    0.01488 
