Temp	Mu	Sigma	Acceptance	Energy	
0.106	0.816	0.771	0.56	-0.316
0.106	0.826	0.779	0.56	-0.294
0.105	0.847	0.768	0.57	-0.297
0.105	0.831	0.758	0.56	-0.326
0.104	0.818	0.763	0.56	-0.322
0.104	0.819	0.761	0.56	-0.327
0.103	0.824	0.759	0.56	-0.329
0.103	0.796	0.752	0.55	-0.348
0.102	0.782	0.744	0.54	-0.362
0.102	0.773	0.739	0.53	-0.370
0.101	0.779	0.730	0.54	-0.378
0.101	0.793	0.714	0.54	-0.391
0.100	0.793	0.714	0.55	-0.391
0.100	0.812	0.699	0.55	-0.404
0.099	0.815	0.701	0.55	-0.396
0.099	0.813	0.702	0.55	-0.398
0.098	0.798	0.713	0.55	-0.391
0.098	0.773	0.705	0.53	-0.401
0.097	0.760	0.712	0.53	-0.397
0.097	0.744	0.722	0.52	-0.385
0.096	0.729	0.715	0.51	-0.388
0.096	0.733	0.715	0.51	-0.391
0.095	0.713	0.716	0.50	-0.385
0.095	0.692	0.724	0.49	-0.375
0.094	0.695	0.720	0.49	-0.378
0.094	0.686	0.716	0.49	-0.377
0.093	0.689	0.714	0.49	-0.378
0.093	0.682	0.713	0.49	-0.377
0.093	0.698	0.704	0.50	-0.388
0.092	0.691	0.703	0.49	-0.382
0.092	0.677	0.718	0.48	-0.374
0.091	0.686	0.722	0.49	-0.374
0.091	0.687	0.714	0.49	-0.377
0.090	0.700	0.709	0.50	-0.386
0.090	0.722	0.721	0.51	-0.386
0.089	0.740	0.707	0.52	-0.399
0.089	0.751	0.697	0.52	-0.404
0.088	0.766	0.686	0.53	-0.417
0.088	0.760	0.673	0.53	-0.422
0.088	0.743	0.680	0.52	-0.413
0.087	0.749	0.692	0.52	-0.409
0.087	0.728	0.695	0.51	-0.400
0.086	0.745	0.708	0.52	-0.398
0.086	0.766	0.713	0.53	-0.397
0.085	0.763	0.717	0.53	-0.390
0.085	0.770	0.706	0.53	-0.399
0.085	0.783	0.718	0.54	-0.389
0.084	0.768	0.725	0.53	-0.385
0.084	0.759	0.722	0.53	-0.388
0.083	0.759	0.722	0.52	-0.388
0.083	0.773	0.726	0.53	-0.384
0.082	0.769	0.730	0.53	-0.381
0.082	0.765	0.723	0.53	-0.387
0.082	0.746	0.727	0.52	-0.379
0.081	0.743	0.722	0.52	-0.387
0.081	0.742	0.726	0.52	-0.384
0.080	0.750	0.731	0.52	-0.380
0.080	0.733	0.721	0.51	-0.385
0.080	0.731	0.724	0.51	-0.383
0.079	0.720	0.736	0.51	-0.371
0.079	0.701	0.738	0.50	-0.368
0.078	0.701	0.745	0.50	-0.365
0.078	0.703	0.741	0.50	-0.370
0.078	0.719	0.751	0.51	-0.363
0.077	0.712	0.760	0.50	-0.356
0.077	0.706	0.772	0.50	-0.345
0.076	0.696	0.779	0.50	-0.338
0.076	0.698	0.771	0.50	-0.347
0.076	0.692	0.761	0.49	-0.352
0.075	0.690	0.773	0.49	-0.344
0.075	0.673	0.764	0.48	-0.345
0.075	0.684	0.763	0.49	-0.348
0.074	0.696	0.769	0.50	-0.351
0.074	0.696	0.769	0.50	-0.351
0.073	0.679	0.770	0.49	-0.349
0.073	0.693	0.778	0.50	-0.336
0.073	0.692	0.773	0.49	-0.343
0.072	0.703	0.780	0.50	-0.341
0.072	0.713	0.776	0.51	-0.341
0.072	0.696	0.783	0.50	-0.338
0.071	0.688	0.789	0.49	-0.330
0.071	0.700	0.785	0.50	-0.334
0.071	0.705	0.783	0.50	-0.336
0.070	0.719	0.780	0.51	-0.333
0.070	0.697	0.777	0.50	-0.340
0.070	0.705	0.778	0.50	-0.338
0.069	0.695	0.786	0.50	-0.335
0.069	0.711	0.792	0.51	-0.336
0.069	0.689	0.785	0.49	-0.337
0.068	0.695	0.794	0.50	-0.325
0.068	0.682	0.787	0.49	-0.332
0.067	0.677	0.776	0.49	-0.336
0.067	0.677	0.769	0.49	-0.345
0.067	0.690	0.763	0.49	-0.350
0.066	0.694	0.771	0.49	-0.349
0.066	0.708	0.767	0.50	-0.349
0.066	0.701	0.768	0.50	-0.351
0.065	0.705	0.777	0.50	-0.343
0.065	0.713	0.781	0.50	-0.340
0.065	0.705	0.789	0.50	-0.331
0.065	0.712	0.782	0.50	-0.338
0.064	0.711	0.781	0.50	-0.339
0.064	0.718	0.789	0.51	-0.331
0.064	0.718	0.787	0.51	-0.332
0.063	0.725	0.778	0.51	-0.341
0.063	0.739	0.779	0.52	-0.337
0.063	0.751	0.769	0.52	-0.346
0.062	0.764	0.765	0.53	-0.346
0.062	0.765	0.768	0.53	-0.346
0.062	0.758	0.764	0.53	-0.349
0.061	0.746	0.754	0.52	-0.357
0.061	0.755	0.750	0.53	-0.366
0.061	0.772	0.747	0.53	-0.365
0.060	0.767	0.751	0.53	-0.360
0.060	0.768	0.757	0.53	-0.356
0.060	0.761	0.747	0.53	-0.362
0.060	0.752	0.754	0.52	-0.358
0.059	0.737	0.748	0.52	-0.370
0.059	0.737	0.748	0.51	-0.370
0.059	0.737	0.748	0.52	-0.370
0.058	0.724	0.756	0.51	-0.358
0.058	0.727	0.748	0.51	-0.363
0.058	0.736	0.749	0.52	-0.366
0.057	0.738	0.743	0.52	-0.371
0.057	0.725	0.745	0.51	-0.367
0.057	0.727	0.737	0.51	-0.376
0.057	0.727	0.745	0.51	-0.370
0.056	0.730	0.745	0.51	-0.366
0.056	0.739	0.746	0.52	-0.365
0.056	0.753	0.749	0.52	-0.361
0.056	0.743	0.747	0.52	-0.367
0.055	0.746	0.756	0.52	-0.358
0.055	0.746	0.761	0.52	-0.352
0.055	0.737	0.766	0.52	-0.350
0.054	0.748	0.757	0.52	-0.359
0.054	0.747	0.763	0.52	-0.354
0.054	0.747	0.763	0.53	-0.354
0.054	0.755	0.769	0.52	-0.340
0.053	0.746	0.765	0.52	-0.351
0.053	0.736	0.763	0.51	-0.349
0.053	0.727	0.754	0.51	-0.363
0.053	0.722	0.753	0.51	-0.360
0.052	0.727	0.756	0.51	-0.360
0.052	0.720	0.763	0.51	-0.352
0.052	0.725	0.761	0.51	-0.356
0.051	0.732	0.754	0.51	-0.357
0.051	0.743	0.754	0.52	-0.361
0.051	0.753	0.754	0.52	-0.359
0.051	0.753	0.755	0.52	-0.359
0.050	0.763	0.754	0.53	-0.357
0.050	0.772	0.756	0.53	-0.352
0.050	0.770	0.760	0.53	-0.350
0.050	0.777	0.765	0.54	-0.345
0.049	0.770	0.759	0.53	-0.349
0.049	0.770	0.756	0.53	-0.355
0.049	0.766	0.757	0.53	-0.348
0.049	0.766	0.756	0.53	-0.356
0.048	0.769	0.763	0.53	-0.347
0.048	0.777	0.770	0.54	-0.336
0.048	0.776	0.768	0.54	-0.336
0.048	0.785	0.767	0.54	-0.339
0.048	0.780	0.768	0.54	-0.339
0.047	0.772	0.764	0.53	-0.345
0.047	0.763	0.767	0.53	-0.344
0.047	0.755	0.771	0.53	-0.342
0.047	0.748	0.774	0.52	-0.340
0.046	0.750	0.776	0.52	-0.340
0.046	0.750	0.783	0.52	-0.331
0.046	0.739	0.786	0.52	-0.326
0.046	0.735	0.783	0.52	-0.331
0.045	0.737	0.776	0.52	-0.341
0.045	0.730	0.773	0.51	-0.344
0.045	0.720	0.779	0.51	-0.339
0.045	0.729	0.779	0.51	-0.339
0.045	0.739	0.772	0.52	-0.344
0.044	0.738	0.777	0.52	-0.343
0.044	0.738	0.777	0.52	-0.343
0.044	0.746	0.777	0.52	-0.334
0.044	0.741	0.772	0.52	-0.342
0.043	0.737	0.776	0.52	-0.342
0.043	0.737	0.776	0.52	-0.342
0.043	0.731	0.779	0.51	-0.338
0.043	0.725	0.777	0.51	-0.342
0.043	0.720	0.777	0.51	-0.342
0.042	0.726	0.772	0.51	-0.343
0.042	0.719	0.779	0.51	-0.341
0.042	0.720	0.784	0.51	-0.337
0.042	0.706	0.778	0.50	-0.337
0.041	0.698	0.778	0.50	-0.341
0.041	0.700	0.777	0.50	-0.342
0.041	0.707	0.782	0.50	-0.337
0.041	0.707	0.778	0.50	-0.341
0.041	0.696	0.773	0.50	-0.343
0.040	0.693	0.767	0.49	-0.345
0.040	0.699	0.766	0.50	-0.348
0.040	0.710	0.766	0.50	-0.353
0.040	0.710	0.766	0.50	-0.354
0.040	0.704	0.760	0.50	-0.352
0.039	0.704	0.760	0.50	-0.352
0.039	0.700	0.755	0.50	-0.357
0.039	0.708	0.759	0.50	-0.356
0.039	0.714	0.755	0.50	-0.359
0.039	0.706	0.750	0.50	-0.359
0.038	0.714	0.744	0.50	-0.369
0.038	0.706	0.746	0.50	-0.366
0.038	0.711	0.745	0.50	-0.367
0.038	0.715	0.748	0.50	-0.364
0.038	0.711	0.747	0.50	-0.368
0.038	0.711	0.742	0.50	-0.369
0.037	0.723	0.736	0.51	-0.376
0.037	0.728	0.738	0.51	-0.373
0.037	0.728	0.734	0.51	-0.374
0.037	0.726	0.737	0.51	-0.374
0.037	0.732	0.740	0.51	-0.372
0.036	0.734	0.740	0.51	-0.375
0.036	0.742	0.741	0.52	-0.374
0.036	0.740	0.747	0.52	-0.369
0.036	0.744	0.752	0.52	-0.361
0.036	0.736	0.752	0.51	-0.360
0.036	0.737	0.758	0.52	-0.358
0.035	0.731	0.752	0.51	-0.361
0.035	0.729	0.750	0.51	-0.363
0.035	0.732	0.746	0.51	-0.368
0.035	0.729	0.749	0.51	-0.367
0.035	0.723	0.749	0.51	-0.367
0.034	0.725	0.745	0.51	-0.370
0.034	0.734	0.749	0.51	-0.366
0.034	0.732	0.743	0.51	-0.372
0.034	0.726	0.742	0.51	-0.368
0.034	0.721	0.736	0.51	-0.378
0.034	0.714	0.731	0.50	-0.376
0.033	0.712	0.730	0.50	-0.377
0.033	0.711	0.734	0.50	-0.374
0.033	0.708	0.729	0.50	-0.376
0.033	0.703	0.727	0.50	-0.377
0.033	0.705	0.724	0.50	-0.382
0.033	0.705	0.724	0.49	-0.382
0.032	0.709	0.729	0.50	-0.379
0.032	0.719	0.726	0.51	-0.384
0.032	0.721	0.725	0.51	-0.381
0.032	0.731	0.720	0.51	-0.384
0.032	0.730	0.723	0.51	-0.386
0.032	0.730	0.725	0.51	-0.385
0.031	0.731	0.730	0.51	-0.382
0.031	0.724	0.726	0.51	-0.384
0.031	0.719	0.725	0.51	-0.382
0.031	0.714	0.721	0.50	-0.385
0.031	0.716	0.717	0.50	-0.386
0.031	0.707	0.712	0.50	-0.386
0.031	0.703	0.711	0.50	-0.386
0.030	0.699	0.711	0.50	-0.384
0.030	0.694	0.710	0.49	-0.383
0.030	0.691	0.714	0.49	-0.380
0.030	0.696	0.714	0.49	-0.380
0.030	0.687	0.710	0.49	-0.381
0.030	0.685	0.715	0.49	-0.376
0.030	0.679	0.712	0.48	-0.374
0.029	0.682	0.712	0.49	-0.380
0.029	0.691	0.709	0.49	-0.382
0.029	0.696	0.712	0.49	-0.382
0.029	0.698	0.708	0.49	-0.387
0.029	0.703	0.704	0.50	-0.391
0.029	0.704	0.700	0.50	-0.394
0.028	0.710	0.704	0.50	-0.391
0.028	0.712	0.703	0.50	-0.394
0.028	0.706	0.704	0.50	-0.389
0.028	0.701	0.706	0.50	-0.386
0.028	0.697	0.706	0.49	-0.387
0.028	0.691	0.702	0.49	-0.386
0.028	0.694	0.701	0.49	-0.387
0.028	0.686	0.701	0.49	-0.383
0.027	0.688	0.702	0.49	-0.384
0.027	0.682	0.697	0.49	-0.385
0.027	0.683	0.697	0.49	-0.387
0.027	0.688	0.695	0.49	-0.389
0.027	0.691	0.691	0.49	-0.393
0.027	0.684	0.691	0.49	-0.387
0.027	0.686	0.695	0.49	-0.387
0.026	0.678	0.699	0.48	-0.380
0.026	0.675	0.703	0.48	-0.378
0.026	0.671	0.706	0.48	-0.374
0.026	0.673	0.708	0.48	-0.374
0.026	0.669	0.704	0.48	-0.374
0.026	0.664	0.707	0.48	-0.372
0.026	0.666	0.711	0.48	-0.369
0.026	0.672	0.708	0.48	-0.373
0.025	0.670	0.709	0.48	-0.372
0.025	0.665	0.707	0.48	-0.373
0.025	0.668	0.709	0.48	-0.371
0.025	0.668	0.709	0.48	-0.371
0.025	0.668	0.712	0.48	-0.371
0.025	0.666	0.708	0.48	-0.371
0.025	0.671	0.708	0.48	-0.376
0.025	0.666	0.707	0.48	-0.371
0.024	0.666	0.706	0.48	-0.372
0.024	0.671	0.709	0.48	-0.374
0.024	0.672	0.705	0.48	-0.376
0.024	0.676	0.708	0.48	-0.376
0.024	0.679	0.708	0.48	-0.377
0.024	0.682	0.708	0.48	-0.380
0.024	0.677	0.710	0.48	-0.376
0.024	0.682	0.709	0.49	-0.379
0.023	0.681	0.706	0.49	-0.379
0.023	0.683	0.703	0.49	-0.384
0.023	0.681	0.702	0.49	-0.380
0.023	0.684	0.703	0.49	-0.382
0.023	0.687	0.704	0.49	-0.383
0.023	0.687	0.704	0.49	-0.383
0.023	0.681	0.707	0.49	-0.378
0.023	0.682	0.707	0.49	-0.379
0.023	0.688	0.709	0.49	-0.379
0.022	0.686	0.712	0.49	-0.380
0.022	0.686	0.714	0.49	-0.378
0.022	0.687	0.713	0.49	-0.378
0.022	0.685	0.713	0.49	-0.378
0.022	0.686	0.715	0.49	-0.378
0.022	0.687	0.715	0.49	-0.379
0.022	0.689	0.717	0.49	-0.379
0.022	0.684	0.718	0.49	-0.374
0.022	0.686	0.719	0.49	-0.378
0.021	0.689	0.721	0.49	-0.377
0.021	0.689	0.720	0.49	-0.376
0.021	0.689	0.720	0.49	-0.376
0.021	0.691	0.717	0.49	-0.378
0.021	0.688	0.716	0.49	-0.377
0.021	0.684	0.714	0.49	-0.378
0.021	0.682	0.716	0.49	-0.374
0.021	0.684	0.719	0.49	-0.375
0.021	0.681	0.718	0.49	-0.374
0.020	0.677	0.719	0.48	-0.372
0.020	0.680	0.722	0.49	-0.374
0.020	0.677	0.721	0.48	-0.372
0.020	0.681	0.718	0.49	-0.375
0.020	0.684	0.716	0.49	-0.378
0.020	0.683	0.713	0.49	-0.376
0.020	0.686	0.712	0.49	-0.379
0.020	0.684	0.710	0.49	-0.379
0.020	0.685	0.713	0.49	-0.378
0.020	0.681	0.714	0.49	-0.375
0.019	0.679	0.712	0.48	-0.377
0.019	0.676	0.710	0.48	-0.374
0.019	0.678	0.708	0.48	-0.377
0.019	0.680	0.711	0.48	-0.375
0.019	0.681	0.709	0.49	-0.376
0.019	0.682	0.710	0.49	-0.378
0.019	0.683	0.710	0.49	-0.377
0.019	0.683	0.707	0.49	-0.379
0.019	0.682	0.705	0.49	-0.380
0.019	0.681	0.704	0.49	-0.381
0.019	0.685	0.702	0.49	-0.381
0.018	0.684	0.701	0.49	-0.383
0.018	0.680	0.702	0.48	-0.380
0.018	0.683	0.701	0.49	-0.380
0.018	0.679	0.701	0.48	-0.381
0.018	0.676	0.698	0.48	-0.381
0.018	0.677	0.701	0.48	-0.377
0.018	0.674	0.701	0.48	-0.379
0.018	0.673	0.703	0.48	-0.377
0.018	0.676	0.701	0.48	-0.380
0.018	0.679	0.703	0.48	-0.380
0.018	0.679	0.702	0.48	-0.379
0.017	0.677	0.703	0.48	-0.378
0.017	0.679	0.705	0.48	-0.380
0.017	0.674	0.707	0.48	-0.376
0.017	0.674	0.706	0.48	-0.375
0.017	0.671	0.708	0.48	-0.373
0.017	0.671	0.707	0.48	-0.373
0.017	0.676	0.705	0.48	-0.378
0.017	0.679	0.706	0.48	-0.379
0.017	0.679	0.707	0.48	-0.378
0.017	0.681	0.705	0.49	-0.380
0.017	0.678	0.705	0.48	-0.378
0.016	0.677	0.704	0.48	-0.376
0.016	0.680	0.704	0.48	-0.380
0.016	0.677	0.702	0.48	-0.378
0.016	0.676	0.704	0.48	-0.379
0.016	0.678	0.703	0.48	-0.381
0.016	0.678	0.703	0.48	-0.381
0.016	0.678	0.703	0.49	-0.381
0.016	0.678	0.703	0.48	-0.381
0.016	0.676	0.703	0.48	-0.377
0.016	0.679	0.702	0.48	-0.377
0.016	0.680	0.703	0.48	-0.378
0.016	0.681	0.705	0.48	-0.378
0.016	0.686	0.703	0.49	-0.383
0.015	0.686	0.704	0.49	-0.384
0.015	0.689	0.704	0.49	-0.382
0.015	0.692	0.707	0.49	-0.383
0.015	0.692	0.707	0.49	-0.386
0.015	0.696	0.708	0.49	-0.385
0.015	0.696	0.708	0.49	-0.385
0.015	0.697	0.709	0.49	-0.385
0.015	0.697	0.709	0.49	-0.385
0.015	0.700	0.710	0.50	-0.386
0.015	0.703	0.709	0.50	-0.387
0.015	0.705	0.711	0.50	-0.386
0.015	0.708	0.709	0.50	-0.391
0.015	0.706	0.708	0.50	-0.391
0.014	0.705	0.709	0.50	-0.386
0.014	0.708	0.707	0.50	-0.391
0.014	0.709	0.709	0.50	-0.389
0.014	0.707	0.710	0.50	-0.389
0.014	0.709	0.711	0.50	-0.389
0.014	0.709	0.712	0.50	-0.386
0.014	0.712	0.712	0.50	-0.389
0.014	0.714	0.713	0.50	-0.388
0.014	0.711	0.713	0.50	-0.386
0.014	0.710	0.712	0.50	-0.386
0.014	0.711	0.714	0.50	-0.388
0.014	0.716	0.713	0.50	-0.386
0.014	0.717	0.715	0.51	-0.388
0.014	0.715	0.715	0.50	-0.389
0.014	0.714	0.716	0.50	-0.388
0.013	0.714	0.715	0.50	-0.386
0.013	0.718	0.715	0.50	-0.389
0.013	0.717	0.715	0.50	-0.387
0.013	0.719	0.714	0.51	-0.390
0.013	0.719	0.713	0.50	-0.390
0.013	0.718	0.714	0.51	-0.390
0.013	0.715	0.716	0.50	-0.386
0.013	0.715	0.714	0.50	-0.385
0.013	0.711	0.713	0.50	-0.389
0.013	0.714	0.714	0.50	-0.388
0.013	0.712	0.714	0.50	-0.387
0.013	0.713	0.713	0.50	-0.389
0.013	0.715	0.713	0.50	-0.389
0.013	0.714	0.712	0.50	-0.387
0.013	0.713	0.712	0.50	-0.388
0.012	0.714	0.714	0.50	-0.389
0.012	0.714	0.714	0.50	-0.389
0.012	0.717	0.716	0.50	-0.388
0.012	0.719	0.717	0.51	-0.387
0.012	0.719	0.717	0.50	-0.387
0.012	0.723	0.719	0.51	-0.385
0.012	0.724	0.717	0.51	-0.387
0.012	0.720	0.718	0.51	-0.386
0.012	0.718	0.717	0.50	-0.389
0.012	0.716	0.716	0.50	-0.385
0.012	0.714	0.715	0.50	-0.387
0.012	0.712	0.715	0.50	-0.388
0.012	0.712	0.716	0.50	-0.386
0.012	0.711	0.714	0.50	-0.386
0.012	0.709	0.713	0.50	-0.385
0.012	0.711	0.714	0.50	-0.388
0.012	0.714	0.714	0.50	-0.389
0.011	0.714	0.714	0.50	-0.389
0.011	0.717	0.714	0.50	-0.389
0.011	0.715	0.714	0.50	-0.385
0.011	0.717	0.714	0.50	-0.388
0.011	0.717	0.714	0.50	-0.388
0.011	0.715	0.714	0.50	-0.389
0.011	0.715	0.714	0.50	-0.388
0.011	0.714	0.713	0.50	-0.389
0.011	0.712	0.713	0.50	-0.386
0.011	0.714	0.715	0.50	-0.389
0.011	0.717	0.714	0.50	-0.387
0.011	0.716	0.715	0.50	-0.386
0.011	0.717	0.714	0.50	-0.388
0.011	0.714	0.715	0.50	-0.385
0.011	0.716	0.717	0.50	-0.387
0.011	0.715	0.715	0.50	-0.389
0.011	0.715	0.717	0.50	-0.388
0.011	0.716	0.715	0.50	-0.387
0.010	0.715	0.716	0.50	-0.386
0.010	0.716	0.715	0.50	-0.386
0.010	0.719	0.716	0.51	-0.388
0.010	0.717	0.718	0.50	-0.383
0.010	0.718	0.719	0.50	-0.386
0.010	0.718	0.720	0.51	-0.386
0.010	0.718	0.719	0.51	-0.386
0.010	0.716	0.718	0.50	-0.386
0.010	0.718	0.719	0.50	-0.386
0.010	0.721	0.720	0.51	-0.385
0.010	0.721	0.720	0.51	-0.385
0.010	0.720	0.719	0.51	-0.387
0.010	0.720	0.719	0.51	-0.386
0.010	0.718	0.720	0.51	-0.387
0.010	0.717	0.720	0.50	-0.384
0.010	0.717	0.719	0.51	-0.385
0.010	0.720	0.718	0.51	-0.387
0.010	0.721	0.718	0.51	-0.388
0.010	0.724	0.718	0.51	-0.386
0.010	0.725	0.718	0.51	-0.389
0.009	0.724	0.717	0.51	-0.389
0.009	0.725	0.718	0.51	-0.386
0.009	0.727	0.719	0.51	-0.388
0.009	0.728	0.720	0.51	-0.385
0.009	0.726	0.720	0.51	-0.387
0.009	0.728	0.720	0.51	-0.387
0.009	0.729	0.720	0.51	-0.386
0.009	0.731	0.719	0.51	-0.387
0.009	0.731	0.720	0.51	-0.385
0.009	0.730	0.718	0.51	-0.388
0.009	0.729	0.719	0.51	-0.386
0.009	0.729	0.720	0.51	-0.389
0.009	0.727	0.718	0.51	-0.387
0.009	0.729	0.718	0.51	-0.384
0.009	0.728	0.717	0.51	-0.387
0.009	0.729	0.716	0.51	-0.389
0.009	0.727	0.715	0.51	-0.390
0.009	0.727	0.714	0.51	-0.392
0.009	0.726	0.714	0.51	-0.393
0.009	0.726	0.714	0.51	-0.393
0.009	0.729	0.715	0.51	-0.391
0.009	0.730	0.715	0.51	-0.392
0.008	0.727	0.714	0.51	-0.389
0.008	0.727	0.713	0.51	-0.389
0.008	0.727	0.712	0.51	-0.390
0.008	0.727	0.712	0.51	-0.392
0.008	0.728	0.712	0.51	-0.391
0.008	0.729	0.711	0.51	-0.393
0.008	0.729	0.712	0.51	-0.396
0.008	0.729	0.712	0.51	-0.396
0.008	0.728	0.712	0.51	-0.392
0.008	0.727	0.711	0.51	-0.394
0.008	0.728	0.710	0.51	-0.392
0.008	0.730	0.710	0.51	-0.393
0.008	0.731	0.710	0.51	-0.394
0.008	0.730	0.710	0.51	-0.392
0.008	0.730	0.710	0.51	-0.395
0.008	0.731	0.709	0.51	-0.395
0.008	0.733	0.710	0.51	-0.396
0.008	0.733	0.710	0.52	-0.396
0.008	0.736	0.711	0.51	-0.394
0.008	0.736	0.711	0.51	-0.394
0.008	0.734	0.712	0.51	-0.394
0.008	0.732	0.713	0.51	-0.391
0.008	0.731	0.712	0.51	-0.391
0.008	0.731	0.711	0.51	-0.394
0.008	0.733	0.711	0.51	-0.392
0.007	0.733	0.711	0.51	-0.395
0.007	0.732	0.712	0.51	-0.392
0.007	0.732	0.711	0.51	-0.394
0.007	0.732	0.711	0.51	-0.394
0.007	0.731	0.711	0.51	-0.395
0.007	0.732	0.710	0.51	-0.393
0.007	0.731	0.709	0.51	-0.396
0.007	0.731	0.709	0.51	-0.396
0.007	0.732	0.708	0.51	-0.394
0.007	0.734	0.707	0.51	-0.398
0.007	0.736	0.707	0.51	-0.398
0.007	0.737	0.707	0.52	-0.397
0.007	0.737	0.708	0.52	-0.397
0.007	0.738	0.709	0.52	-0.398
0.007	0.737	0.709	0.52	-0.395
0.007	0.735	0.708	0.52	-0.398
0.007	0.734	0.707	0.51	-0.394
0.007	0.734	0.706	0.51	-0.399
0.007	0.734	0.706	0.51	-0.399
0.007	0.733	0.705	0.51	-0.397
0.007	0.734	0.706	0.51	-0.396
0.007	0.735	0.706	0.51	-0.396
0.007	0.735	0.706	0.51	-0.398
0.007	0.736	0.706	0.52	-0.398
0.007	0.736	0.706	0.51	-0.398
0.007	0.736	0.707	0.52	-0.396
0.007	0.735	0.706	0.51	-0.397
0.007	0.736	0.707	0.51	-0.399
0.006	0.736	0.707	0.51	-0.399
0.006	0.736	0.707	0.52	-0.399
0.006	0.736	0.707	0.51	-0.399
0.006	0.737	0.707	0.52	-0.397
0.006	0.737	0.708	0.52	-0.396
0.006	0.737	0.708	0.51	-0.396
0.006	0.737	0.707	0.52	-0.394
0.006	0.737	0.707	0.52	-0.395
0.006	0.738	0.707	0.52	-0.398
0.006	0.737	0.708	0.52	-0.396
0.006	0.738	0.709	0.52	-0.396
0.006	0.738	0.709	0.52	-0.396
0.006	0.739	0.709	0.52	-0.396
0.006	0.740	0.709	0.52	-0.397
0.006	0.741	0.709	0.52	-0.396
0.006	0.739	0.710	0.52	-0.397
0.006	0.739	0.710	0.52	-0.397
0.006	0.737	0.711	0.52	-0.396
0.006	0.736	0.710	0.51	-0.395
0.006	0.735	0.710	0.51	-0.397
0.006	0.735	0.710	0.51	-0.397
0.006	0.735	0.709	0.51	-0.395
0.006	0.734	0.709	0.51	-0.397
0.006	0.734	0.709	0.51	-0.397
0.006	0.734	0.709	0.51	-0.397
0.006	0.734	0.708	0.51	-0.395
0.006	0.734	0.708	0.51	-0.395
0.006	0.734	0.709	0.51	-0.395
0.006	0.734	0.708	0.51	-0.396
0.006	0.734	0.709	0.51	-0.397
0.006	0.734	0.710	0.51	-0.395
0.006	0.734	0.711	0.51	-0.394
0.006	0.735	0.710	0.51	-0.392
0.006	0.735	0.711	0.51	-0.393
0.005	0.735	0.711	0.51	-0.395
0.005	0.734	0.711	0.51	-0.395
0.005	0.733	0.711	0.51	-0.393
0.005	0.733	0.710	0.51	-0.394
0.005	0.734	0.710	0.51	-0.395
0.005	0.733	0.711	0.51	-0.395
0.005	0.733	0.711	0.51	-0.395
0.005	0.731	0.710	0.51	-0.394
0.005	0.730	0.710	0.51	-0.394
0.005	0.731	0.711	0.51	-0.393
0.005	0.731	0.711	0.51	-0.394
0.005	0.731	0.711	0.51	-0.393
0.005	0.730	0.711	0.51	-0.389
0.005	0.730	0.710	0.51	-0.394
0.005	0.729	0.710	0.51	-0.393
0.005	0.728	0.710	0.51	-0.393
0.005	0.728	0.710	0.51	-0.393
0.005	0.730	0.711	0.51	-0.394
0.005	0.731	0.710	0.51	-0.395
0.005	0.732	0.711	0.51	-0.393
0.005	0.733	0.711	0.51	-0.394
0.005	0.732	0.711	0.51	-0.396
0.005	0.733	0.711	0.51	-0.394
0.005	0.733	0.711	0.51	-0.396
0.005	0.733	0.711	0.51	-0.394
0.005	0.733	0.711	0.51	-0.394
0.005	0.733	0.711	0.51	-0.395
0.005	0.733	0.711	0.51	-0.395
0.005	0.734	0.712	0.51	-0.394
0.005	0.734	0.711	0.51	-0.391
0.005	0.735	0.711	0.51	-0.395
0.005	0.735	0.711	0.51	-0.395
0.005	0.733	0.711	0.51	-0.393
0.005	0.733	0.712	0.51	-0.394
0.005	0.732	0.711	0.51	-0.394
0.005	0.731	0.711	0.51	-0.394
0.005	0.732	0.711	0.51	-0.396
0.005	0.733	0.711	0.51	-0.394
0.005	0.733	0.711	0.51	-0.396
0.005	0.733	0.710	0.51	-0.395
0.004	0.733	0.710	0.51	-0.395
0.004	0.733	0.710	0.51	-0.395
0.004	0.733	0.710	0.51	-0.395
0.004	0.732	0.710	0.51	-0.396
0.004	0.732	0.710	0.51	-0.396
0.004	0.731	0.710	0.51	-0.393
0.004	0.732	0.710	0.51	-0.394
0.004	0.732	0.709	0.51	-0.395
0.004	0.731	0.710	0.51	-0.394
0.004	0.731	0.710	0.51	-0.398
0.004	0.731	0.710	0.51	-0.398
0.004	0.731	0.710	0.51	-0.398
0.004	0.732	0.710	0.51	-0.395
0.004	0.732	0.710	0.51	-0.395
0.004	0.732	0.711	0.51	-0.393
0.004	0.733	0.711	0.51	-0.394
0.004	0.734	0.711	0.51	-0.396
0.004	0.734	0.711	0.51	-0.396
0.004	0.734	0.711	0.51	-0.395
0.004	0.734	0.711	0.51	-0.395
0.004	0.734	0.711	0.51	-0.393
0.004	0.734	0.711	0.51	-0.392
0.004	0.735	0.712	0.51	-0.391
0.004	0.736	0.712	0.51	-0.393
0.004	0.735	0.713	0.51	-0.397
0.004	0.735	0.713	0.51	-0.397
0.004	0.735	0.713	0.51	-0.397
0.004	0.736	0.713	0.51	-0.395
0.004	0.736	0.712	0.51	-0.395
0.004	0.737	0.712	0.52	-0.392
0.004	0.738	0.712	0.52	-0.392
0.004	0.737	0.712	0.52	-0.394
0.004	0.737	0.711	0.52	-0.397
