Temp	Mu	Sigma	Acceptance	Energy	
1.386	0.403	0.969	0.45	-0.245
1.379	0.456	1.009	0.48	-0.211
1.373	0.327	1.229	0.52	0.105
1.366	0.320	1.015	0.46	-0.240
1.359	0.353	0.974	0.45	-0.251
1.352	0.002	0.965	0.42	-0.243
1.345	0.003	0.884	0.39	-0.201
1.339	0.110	1.106	0.47	-0.198
1.332	0.068	1.059	0.46	-0.237
1.325	0.044	0.965	0.42	-0.245
1.319	0.050	1.001	0.43	-0.251
1.312	0.278	1.068	0.47	-0.204
1.305	0.396	0.889	0.43	-0.253
1.299	0.008	0.873	0.39	-0.187
1.292	0.005	0.675	0.30	0.135
1.286	0.003	0.609	0.27	0.317
1.280	0.005	0.453	0.20	0.985
1.273	0.423	0.590	0.34	-0.045
1.267	0.600	0.789	0.46	-0.316
1.260	0.812	0.881	0.55	-0.130
1.254	0.575	0.720	0.44	-0.313
1.248	0.373	0.529	0.31	0.134
1.242	0.394	0.633	0.35	-0.062
1.235	0.439	0.664	0.37	-0.151
1.229	0.467	0.567	0.36	-0.093
1.223	0.452	0.702	0.38	-0.194
1.217	0.280	0.722	0.35	-0.068
1.211	0.255	0.913	0.42	-0.243
1.205	0.182	0.727	0.34	-0.025
1.199	0.172	0.866	0.39	-0.200
1.193	0.172	0.866	0.33	-0.200
1.187	0.353	0.737	0.37	-0.143
1.181	0.248	0.742	0.35	-0.083
1.175	0.260	0.747	0.35	-0.092
1.169	0.611	0.699	0.45	-0.338
1.163	0.803	0.699	0.55	-0.404
1.157	0.865	0.836	0.58	-0.153
1.152	0.709	1.022	0.53	0.018
1.146	0.615	0.914	0.49	-0.231
1.140	0.832	0.759	0.56	-0.316
1.134	1.056	0.595	0.49	-0.168
1.129	1.056	0.595	0.31	-0.168
1.123	1.043	0.484	0.40	-0.045
1.118	1.225	0.523	0.37	0.316
1.112	0.930	0.642	0.55	-0.367
1.106	1.159	0.708	0.55	0.322
1.101	1.159	0.708	0.40	0.322
1.095	1.159	0.708	0.51	0.322
1.090	1.112	0.623	0.49	-0.005
1.084	1.112	0.623	0.48	-0.005
1.079	1.012	0.757	0.61	-0.053
1.074	1.012	0.757	0.62	-0.053
1.068	1.012	0.757	0.40	-0.053
1.063	0.984	0.885	0.63	0.243
1.058	1.132	0.775	0.60	0.409
1.052	1.233	0.602	0.43	0.401
1.047	1.110	0.651	0.52	0.020
1.042	1.036	0.524	0.43	-0.152
1.037	1.036	0.524	0.28	-0.152
1.031	0.868	0.415	0.37	0.196
1.026	0.977	0.423	0.36	0.165
1.021	0.977	0.423	0.25	0.165
1.016	0.766	0.523	0.47	-0.357
1.011	0.958	0.680	0.57	-0.296
1.006	0.958	0.680	0.55	-0.296
1.001	1.097	0.680	0.55	0.023
0.996	1.195	0.652	0.49	0.346
0.991	0.894	0.541	0.48	-0.349
0.986	1.063	0.612	0.50	-0.153
0.981	1.063	0.612	0.31	-0.153
0.976	1.209	0.547	0.39	0.264
0.971	1.254	0.527	0.36	0.428
0.966	1.181	0.428	0.32	0.380
0.962	1.084	0.347	0.28	0.799
0.957	0.824	0.437	0.40	0.013
0.952	0.824	0.437	0.34	0.013
0.947	0.630	0.523	0.44	-0.288
0.942	0.816	0.641	0.54	-0.439
0.938	0.943	0.593	0.51	-0.357
0.933	0.836	0.672	0.55	-0.416
0.928	0.594	0.678	0.44	-0.321
0.924	0.681	0.692	0.48	-0.385
0.919	0.756	0.655	0.52	-0.429
0.915	0.609	0.775	0.46	-0.321
0.910	0.755	0.732	0.53	-0.380
0.905	0.513	0.683	0.40	-0.245
0.901	0.547	0.756	0.43	-0.292
0.896	0.558	0.720	0.43	-0.298
0.892	0.551	0.694	0.42	-0.286
0.887	0.580	0.711	0.44	-0.315
0.883	0.868	0.813	0.58	-0.195
0.879	0.668	0.689	0.48	-0.378
0.874	0.668	0.689	0.40	-0.378
0.870	0.668	0.689	0.39	-0.378
0.865	0.482	0.722	0.40	-0.236
0.861	0.466	0.682	0.38	-0.193
0.857	0.370	0.784	0.39	-0.199
0.853	0.292	0.912	0.42	-0.245
0.848	0.309	1.003	0.45	-0.244
0.844	0.246	1.092	0.47	-0.188
0.840	0.254	1.183	0.50	-0.057
0.836	0.279	1.174	0.50	-0.057
0.831	0.212	1.109	0.48	-0.184
0.827	0.259	1.151	0.49	-0.128
0.823	0.110	1.047	0.45	-0.234
0.819	0.116	0.928	0.41	-0.234
0.815	0.116	0.928	0.38	-0.234
0.811	0.089	0.842	0.38	-0.163
0.807	0.080	0.841	0.38	-0.158
0.803	0.079	0.783	0.35	-0.080
0.799	0.087	0.669	0.30	0.140
0.795	0.051	0.554	0.25	0.496
0.791	0.051	0.554	0.22	0.496
0.787	0.121	0.673	0.31	0.118
0.783	0.092	0.784	0.35	-0.090
0.779	0.107	0.676	0.31	0.117
0.775	0.232	0.787	0.37	-0.129
0.771	0.230	0.801	0.37	-0.150
0.767	0.272	0.907	0.41	-0.239
0.764	0.460	0.932	0.45	-0.256
0.760	0.427	1.054	0.48	-0.167
0.756	0.452	1.103	0.50	-0.073
0.752	0.452	1.103	0.53	-0.073
0.748	0.413	1.076	0.49	-0.146
0.745	0.409	1.072	0.49	-0.158
0.741	0.488	1.023	0.48	-0.174
0.737	0.369	1.144	0.50	-0.071
0.734	0.455	1.166	0.52	0.039
0.730	0.665	1.169	0.55	0.358
0.726	0.546	1.093	0.51	-0.025
0.723	0.578	1.012	0.50	-0.134
0.719	0.529	0.984	0.48	-0.200
0.715	0.649	1.103	0.53	0.129
0.712	0.716	0.994	0.53	-0.038
0.708	0.571	0.931	0.48	-0.244
0.705	0.533	1.046	0.50	-0.115
0.701	0.644	0.975	0.51	-0.133
0.698	0.536	1.006	0.49	-0.179
0.694	0.558	0.971	0.49	-0.207
0.691	0.604	1.061	0.52	-0.034
0.687	0.656	1.091	0.53	0.110
0.684	0.682	1.016	0.53	-0.032
0.680	0.566	1.023	0.50	-0.133
0.677	0.505	1.024	0.49	-0.172
0.674	0.592	0.968	0.49	-0.191
0.670	0.537	0.868	0.46	-0.280
0.667	0.524	0.801	0.43	-0.285
0.664	0.437	0.773	0.40	-0.232
0.660	0.472	0.801	0.42	-0.262
0.657	0.487	0.779	0.42	-0.264
0.654	0.404	0.673	0.36	-0.116
0.650	0.338	0.604	0.32	0.065
0.647	0.395	0.651	0.35	-0.082
0.644	0.496	0.714	0.40	-0.242
0.641	0.442	0.790	0.41	-0.240
0.637	0.371	0.780	0.39	-0.193
0.634	0.425	0.851	0.42	-0.259
0.631	0.304	0.772	0.37	-0.149
0.628	0.304	0.772	0.33	-0.149
0.625	0.386	0.758	0.38	-0.187
0.622	0.399	0.771	0.39	-0.206
0.619	0.399	0.771	0.32	-0.206
0.615	0.326	0.685	0.34	-0.054
0.612	0.307	0.650	0.33	0.021
0.609	0.357	0.644	0.34	-0.023
0.606	0.303	0.691	0.34	-0.041
0.603	0.303	0.658	0.33	0.011
0.600	0.291	0.745	0.36	-0.111
0.597	0.324	0.830	0.40	-0.213
0.594	0.357	0.796	0.39	-0.199
0.591	0.426	0.824	0.41	-0.243
0.588	0.620	0.811	0.47	-0.313
0.585	0.656	0.842	0.49	-0.295
0.582	0.656	0.842	0.57	-0.295
0.580	0.670	0.811	0.49	-0.313
0.577	0.579	0.775	0.45	-0.309
0.574	0.618	0.782	0.46	-0.324
0.571	0.723	0.784	0.51	-0.333
0.568	0.603	0.843	0.47	-0.288
0.565	0.643	0.866	0.49	-0.271
0.562	0.769	0.852	0.53	-0.230
0.560	0.728	0.936	0.53	-0.125
0.557	0.768	0.849	0.53	-0.232
0.554	0.669	0.935	0.51	-0.176
0.551	0.574	0.885	0.47	-0.274
0.548	0.538	0.960	0.48	-0.222
0.546	0.594	1.012	0.50	-0.118
0.543	0.617	1.100	0.53	0.066
0.540	0.617	1.100	0.55	0.066
0.538	0.725	1.096	0.55	0.237
0.535	0.615	1.165	0.54	0.254
0.532	0.679	1.138	0.55	0.280
0.530	0.514	1.121	0.51	0.004
0.527	0.429	1.147	0.51	-0.018
0.524	0.429	1.147	0.51	-0.018
0.522	0.296	1.077	0.47	-0.197
0.519	0.253	1.006	0.45	-0.247
0.516	0.275	1.033	0.46	-0.229
0.514	0.359	0.977	0.45	-0.245
0.511	0.320	1.013	0.46	-0.239
0.509	0.373	1.028	0.47	-0.212
0.506	0.240	0.999	0.44	-0.246
0.504	0.209	0.950	0.42	-0.246
0.501	0.203	0.915	0.41	-0.236
0.499	0.193	0.855	0.39	-0.194
0.496	0.209	0.895	0.40	-0.228
0.494	0.165	0.974	0.43	-0.250
0.491	0.165	0.974	0.40	-0.250
0.489	0.303	1.023	0.46	-0.228
0.486	0.264	1.004	0.45	-0.243
0.484	0.233	1.046	0.46	-0.228
0.481	0.236	0.970	0.43	-0.253
0.479	0.088	1.022	0.44	-0.251
0.477	0.086	0.963	0.42	-0.247
