 1 1 1 1 1 1 1 1 1 1
 15 15 15 15 15 15 8 8 15 15
 2 2 2 2 2 2 21 21 2 2
 24 24 24 24 24 24 14 14 24 24
 23 23 23 23 23 23 19 19 23 23
 30 30 30 30 30 30 10 10 30 30
 29 29 29 29 29 29 12 12 29 29
 17 17 17 17 17 17 13 13 17 17
 4 4 4 4 4 4 26 26 4 4
 11 11 11 11 11 11 22 22 11 11
 31 31 31 31 31 31 3 3 31 31
 5 5 5 5 5 5 7 7 5 5
 27 27 27 27 27 27 9 9 27 27
 25 25 25 25 25 25 33 33 25 25
 28 28 28 28 28 28 32 32 28 28
 18 18 18 18 18 18 20 20 18 18
 6 6 6 6 6 6 34 34 6 6
 16 16 16 16 16 16 16 16 16 16
 34 34 34 34 34 34 6 6 34 34
 20 20 20 20 20 20 18 18 20 20
 32 32 32 32 32 32 28 28 32 32
 33 33 33 33 33 33 25 25 33 33
 9 9 9 9 9 9 27 27 9 9
 7 7 7 7 7 7 5 5 7 7
 3 3 3 3 3 3 31 31 3 3
 22 22 22 22 22 22 11 11 22 22
 26 26 26 26 26 26 4 4 26 26
 13 13 13 13 13 13 17 17 13 13
 12 12 12 12 12 12 29 29 12 12
 10 10 10 10 10 10 30 30 10 10
 19 19 19 19 19 19 23 23 19 19
 14 14 14 14 14 14 24 24 14 14
 21 21 21 21 21 21 2 2 21 21
 8 8 8 8 8 8 15 15 8 8
