#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
          57     1.66351     1.55458   0.0153777
          56     1.73729     1.69163   0.0141561
          60     1.90098      1.8466     0.01293
          58     1.67702     1.55669   0.0152567
          57     1.73138     1.69233   0.0139249
          61     1.90239     1.84751   0.0127504
          59      1.7067     1.55924   0.0152085
          58     1.72432     1.69288   0.0136958
          62     1.89503     1.84828   0.0125677
          60     1.71521     1.56183   0.0151756
          59     1.68609     1.69277   0.0134641
          63     1.90608     1.84919   0.0124017
          61     1.71068     1.56427   0.0151217
          60     1.66154     1.69225   0.0132498
          64     1.90805     1.85011    0.012242
          62     1.72293     1.56683   0.0150928
          61     1.67227     1.69192   0.0130366
          65      1.8962     1.85082   0.0120741
          63     1.71262     1.56915   0.0150296
          62     1.67618     1.69167   0.0128288
          66     1.89973     1.85156   0.0119139
          64     1.73029     1.57167   0.0150042
          63     1.69229     1.69168   0.0126252
          67     1.89291     1.85218   0.0117521
          65     1.68047     1.57334   0.0148664
          68     1.91016     1.85303   0.0116101
          64     1.73104     1.69229   0.0124429
          66     1.68751     1.57507   0.0147415
          69     1.92116     1.85402   0.0114838
          65      1.7146     1.69263   0.0122562
          67     1.64693     1.57614   0.0145604
          70     1.93072     1.85512   0.0113719
          66     1.78803     1.69408   0.0121554
          68     1.64961     1.57722   0.0143863
          71     1.95228     1.85649   0.0112938
          67     1.82048     1.69597   0.0121195
          69      1.6432     1.57818   0.0142096
          72     1.95502     1.85785   0.0112195
          68     1.80379     1.69755   0.0120446
          70     1.66873     1.57947   0.0140653
          73     1.91077     1.85858   0.0110892
          69     1.80223     1.69907   0.0119652
          71     1.65036     1.58047   0.0139026
          74     1.93105     1.85956   0.0109825
          70     1.82052      1.7008   0.0119194
          72     1.66555     1.58165   0.0137597
          75     1.91033     1.86024   0.0108569
          71     1.81513     1.70241   0.0118598
          73     1.62447     1.58224   0.0135837
          72     1.81743     1.70401   0.0118022
          76     1.91547     1.86096   0.0107384
          74     1.65313      1.5832   0.0134338
          77     1.90688     1.86156   0.0106155
          73     1.81516     1.70553   0.0117383
          75     1.64786     1.58406   0.0132824
          74     1.84385      1.7074   0.0117275
          78     1.90687     1.86214   0.0104952
          76     1.64462     1.58486   0.0131315
          75     1.82303     1.70894   0.0116721
          79     1.92524     1.86294   0.0103927
          77     1.64374     1.58562   0.0129832
          76     1.85706     1.71089     0.01168
          80     1.89594     1.86335    0.010271
          78     1.68408     1.58688    0.012878
          77     1.80688     1.71214   0.0115947
          81     1.94106     1.86431   0.0101889
          79     1.60672     1.58713   0.0127174
          78     1.80427     1.71332    0.011506
          82     1.92086       1.865    0.010088
          80     1.66484     1.58811   0.0125955
          79     1.79728     1.71438   0.0114094
          83     1.92683     1.86574   0.0099939
          81      1.6421     1.58877   0.0124576
          80     1.79317     1.71537   0.0113092
          84     1.94063     1.86664  0.00991461
          82     1.61857     1.58914    0.012311
          81     1.78753     1.71626   0.0112046
          85     1.93479     1.86744  0.00983033
          83     1.63621      1.5897   0.0121757
          82     1.80877     1.71739   0.0111246
          86     1.95798     1.86849  0.00977224
          84     1.62588     1.59013   0.0120384
          83     1.81064     1.71851   0.0110472
          87     1.95698     1.86951   0.0097127
          85     1.64106     1.59073   0.0119116
          84     1.82018     1.71972   0.0109818
          88      1.9755     1.87071  0.00967672
          86     1.61789     1.59105   0.0117773
          85      1.8152     1.72084   0.0109099
          89     1.94494     1.87155  0.00960387
          87     1.64293     1.59164    0.011657
          86     1.82514     1.72206   0.0108502
          90     1.96403     1.87257  0.00955198
          88     1.62923     1.59207   0.0115324
          87     1.82182      1.7232   0.0107859
          91     1.97002     1.87364  0.00950684
          89     1.63206     1.59252   0.0114116
          88     1.82618     1.72437   0.0107266
          92     1.91269     1.87407  0.00941298
          90     1.61512     1.59277   0.0112875
          89     1.83706     1.72564   0.0106806
          93     1.92684     1.87464  0.00932885
          91     1.61495     1.59302   0.0111661
          90     1.83027      1.7268    0.010625
          94     1.93877     1.87532  0.00925452
          92     1.62404     1.59335   0.0110498
          91     1.83813     1.72803   0.0105784
          95     1.92616     1.87585  0.00917257
          93     1.60101     1.59344   0.0109313
          92     1.82619     1.72909   0.0105171
          96     1.90147     1.87612   0.0090809
          94     1.58097      1.5933   0.0108158
          93     1.83451     1.73023   0.0104649
          97      1.9323      1.8767  0.00900574
          95      1.5857     1.59322   0.0107023
          94     1.79453     1.73091   0.0103759
          98     1.91323     1.87707  0.00892155
          96     1.57165       1.593   0.0105932
          95     1.78936     1.73153   0.0102849
          99     1.91784     1.87748  0.00884093
          97     1.57712     1.59283   0.0104852
          96     1.78076     1.73204   0.0101906
         100     1.91634     1.87787  0.00876106
          98     1.55997      1.5925   0.0103836
          97     1.77488     1.73248   0.0100951
          99     1.59796     1.59255   0.0102789
          98     1.74605     1.73262  0.00999301
         100      1.6014     1.59264   0.0101764
          99     1.78555     1.73315  0.00990636
         100      1.7548     1.73337  0.00980966
