#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
          57     1.10901     1.03639   0.0102518
          56      1.1582     1.12776  0.00943741
          60     1.26732     1.23106  0.00862003
          58     1.11801      1.0378   0.0101712
          57     1.15426     1.12822  0.00928328
          61     1.26826     1.23167  0.00850025
          59      1.1378     1.03949    0.010139
          58     1.14955     1.12859  0.00913051
          62     1.26335     1.23218  0.00837849
          60     1.14347     1.04122   0.0101171
          59     1.12406     1.12851  0.00897607
          63     1.27072      1.2328   0.0082678
          61     1.14045     1.04285   0.0100812
          60     1.10769     1.12816  0.00883318
          64     1.27203     1.23341  0.00816131
          62     1.14862     1.04456   0.0100619
          61     1.11485     1.12795  0.00869107
          65     1.26413     1.23388  0.00804943
          63     1.14175      1.0461   0.0100197
          62     1.11745     1.12778  0.00855254
          66     1.26649     1.23438  0.00794262
          64     1.15353     1.04778   0.0100028
          63      1.1282     1.12778  0.00841678
          67     1.26194     1.23479  0.00783472
          65     1.12031     1.04889  0.00991094
          68     1.27344     1.23536  0.00774009
          64     1.15403     1.12819  0.00829525
          66     1.12501     1.05005  0.00982765
          69     1.28078     1.23601  0.00765586
          65     1.14307     1.12842  0.00817079
          67     1.09795     1.05076  0.00970695
          70     1.28715     1.23674  0.00758126
          66     1.19202     1.12939  0.00810361
          68     1.09974     1.05148  0.00959088
          71     1.30152     1.23766  0.00752917
          67     1.21365     1.13064  0.00807967
          69     1.09547     1.05212  0.00947304
          72     1.30335     1.23857  0.00747967
          68     1.20253      1.1317  0.00802971
          70     1.11249     1.05298  0.00937689
          73     1.27385     1.23905  0.00739281
          69     1.20149     1.13271  0.00797678
          71     1.10024     1.05365  0.00926841
          74     1.28736     1.23971  0.00732167
          70     1.21368     1.13387  0.00794626
          72     1.11037     1.05443   0.0091731
          75     1.27356     1.24016  0.00723795
          71     1.21009     1.13494  0.00790652
          73     1.08298     1.05483  0.00905577
          72     1.21162     1.13601  0.00786811
          76     1.27698     1.24064  0.00715891
          74     1.10209     1.05546  0.00895589
          77     1.27125     1.24104  0.00707697
          73     1.21011     1.13702  0.00782553
          75     1.09857     1.05604   0.0088549
          74     1.22923     1.13827  0.00781836
          78     1.27125     1.24143  0.00699683
          76     1.09642     1.05657  0.00875432
          75     1.21535      1.1393  0.00778137
          79     1.28349     1.24196  0.00692849
          77     1.09583     1.05708  0.00865546
          76     1.23804      1.1406   0.0077867
          80     1.26396     1.24223  0.00684734
          78     1.12272     1.05792   0.0085853
          77     1.20458     1.14143  0.00772979
          81     1.29404     1.24287  0.00679261
          79     1.07115     1.05809  0.00847826
          78     1.20285     1.14221   0.0076707
          82     1.28057     1.24333  0.00672532
          80      1.1099     1.05874  0.00839698
          79     1.19819     1.14292  0.00760625
          83     1.28455     1.24383   0.0066626
          81     1.09473     1.05918  0.00830506
          80     1.19545     1.14358  0.00753946
          84     1.29375     1.24442  0.00660974
          82     1.07904     1.05942  0.00820731
          81     1.19169     1.14417  0.00746973
          85     1.28986     1.24496  0.00655355
          83     1.09081      1.0598  0.00811713
          82     1.20585     1.14493  0.00741641
          86     1.30532     1.24566  0.00651483
          84     1.08392     1.06009  0.00802558
          83      1.2071     1.14567  0.00736478
          87     1.30465     1.24634  0.00647513
          85     1.09404     1.06049  0.00794109
          84     1.21345     1.14648  0.00732118
          88       1.317     1.24714  0.00645115
          86     1.07859      1.0607  0.00785154
          85     1.21013     1.14723  0.00727324
          89     1.29663      1.2477  0.00640258
          87     1.09529      1.0611  0.00777136
          86     1.21676     1.14804  0.00723346
          90     1.30935     1.24838  0.00636798
          88     1.08615     1.06138  0.00768826
          87     1.21454      1.1488   0.0071906
          91     1.31335      1.2491   0.0063379
          89     1.08804     1.06168  0.00760771
          88     1.21746     1.14958  0.00715108
          92     1.27513     1.24938  0.00627532
          90     1.07675     1.06185  0.00752502
          89     1.22471     1.15043  0.00712038
          93     1.28456     1.24976  0.00621923
          91     1.07663     1.06201  0.00744408
          90     1.22018      1.1512  0.00708332
          94     1.29252     1.25021  0.00616968
          92     1.08269     1.06224  0.00736656
          91     1.22542     1.15202  0.00705228
          95     1.28411     1.25057  0.00611505
          93     1.06734     1.06229  0.00728755
          92     1.21746     1.15273   0.0070114
          96     1.26765     1.25075  0.00605394
          94     1.05398      1.0622  0.00721056
          93       1.223     1.15348  0.00697661
          97      1.2882     1.25113  0.00600382
          95     1.05714     1.06215  0.00713486
          94     1.19635     1.15394  0.00691728
          98     1.27549     1.25138   0.0059477
          96     1.04777       1.062  0.00706211
          95     1.19291     1.15435  0.00685661
          99     1.27856     1.25166  0.00589396
          97     1.05142     1.06189  0.00699015
          96     1.18717     1.15469  0.00679371
         100     1.27756     1.25192  0.00584071
          98     1.03998     1.06167  0.00692239
          97     1.18325     1.15499  0.00673005
          99     1.06531      1.0617  0.00685257
          98     1.16403     1.15508  0.00666201
         100      1.0676     1.06176   0.0067843
          99     1.19036     1.15544  0.00660424
         100     1.16986     1.15558  0.00653978
